index,country,year,recordedRate,projectedFromRecord,projectedWithoutWar,misc
4,Bosnia/Herzegovina,1965,108.97,,,"In 1946, The Peopls Republic of Bosnia and Herzegovina became one of the consituent republics of the Federal People’s Reblic of Yugoslavia. Ethnics monorities such as the Bosniaks (Bosnian Muslims) were particularly effected by the ensuing social and economic reforms, such as the abolition of many Muslim institutions. In the 1980s, the detrioration of the Yugoslav economy led to widespread disalusionment with the political system. By the 1990’s, with a full scale civil underway in the previously Yugoslav led Croatia , Bosnia and Herzegovina’s government fractured, and the region descended into war."
4,Bosnia/Herzegovina,1970,80.02,,,
4,Bosnia/Herzegovina,1975,57.05,,,
4,Bosnia/Herzegovina,1980,41.27,,,"Bosnian War"
4,Bosnia/Herzegovina,1985,28.93,,,
4,Bosnia/Herzegovina,1990,18.3,,18.015,
4,Bosnia/Herzegovina,1995,27.72,,6.53,
4,Bosnia/Herzegovina,2000,12.32,,,
4,Bosnia/Herzegovina,2005,8.76,,,
4,Bosnia/Herzegovina,2010,7.81,,,
4,Bosnia/Herzegovina,2017,7.04,,,
5,Iraq,1950,244.01,,,28
5,Iraq,1955,210.54,,,1980
5,Iraq,1960,185.96,,,1988
5,Iraq,1965,159.75,,,"The roots of this war lay in a number of territorial and political disputes between Iraq and Iran, with the parties aiming to seize points of strategic and economic advantage and undergoing religious reforms. Conflict began when Iraqi armed forces invaded regions of Iran on the border, though Iraq claimed that the war had begun earlier that month when Iran shelled a number of border posts."
5,Iraq,1970,135.42,,,
5,Iraq,1975,108.23,,,
5,Iraq,1980,83.66,,82.20178571,"Iraq/Iran war"
5,Iraq,1985,71.89,,55.90857143,
5,Iraq,1990,56.22,,29.61535714,
5,Iraq,1995,53.21,,3.322142857,
5,Iraq,2000,44.4,,,
5,Iraq,2005,39.89,,,
5,Iraq,2010,33.14,,,
5,Iraq,2017,25.65,,,
5,Iraq,2018,,24.26213243,,
5,Iraq,2019,,23.0869983,,
5,Iraq,2020,,21.91186418,,
5,Iraq,2021,,20.73673005,,
5,Iraq,2022,,19.56159593,,
5,Iraq,2023,,18.3864618,,
